epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.11228,1.99414,3.22023,1.98685,0.00431,0.59236,0.09134,0.03565,1.93334,3.5939,2.17282,0.0005,0.0005,0.0005
2,21.8217,1.89405,2.88646,1.91481,0.14794,0.12739,0.06688,0.01823,2.34639,4.41747,2.76348,0.000999804,0.000999804,0.000999804
3,35.3408,1.91447,2.82082,1.90568,0.12333,0.13376,0.03956,0.01118,2.56013,9.46251,3.66384,0.00147902,0.00147902,0.00147902
4,48.5965,1.95109,2.75029,1.95752,0.02781,0.10828,0.01054,0.00366,2.61398,7.1776,3.02454,0.0018812,0.0018812,0.0018812
5,63.0146,1.96824,2.67405,1.93941,0.15695,0.16247,0.07592,0.0252,2.53402,4.5125,2.73369,0.0018416,0.0018416,0.0018416
6,76.1786,1.95596,2.63746,1.93938,0.16782,0.33758,0.1245,0.04812,2.44947,6.93768,2.73037,0.001802,0.001802,0.001802
7,84.827,1.93664,2.64105,1.93474,0.13972,0.18471,0.07446,0.0292,2.40653,4.69107,2.5432,0.0017624,0.0017624,0.0017624
8,92.4445,1.81622,2.45772,1.83111,0.20318,0.2293,0.10073,0.04589,2.0858,3.08396,2.16157,0.0017228,0.0017228,0.0017228
9,100.114,1.87421,2.42126,1.85691,0.42995,0.24502,0.2493,0.12039,1.99342,2.90931,2.10795,0.0016832,0.0016832,0.0016832
10,107.68,1.85844,2.37532,1.84802,0.35786,0.29936,0.21234,0.08784,2.17005,3.09699,2.29159,0.0016436,0.0016436,0.0016436
11,115.199,1.83786,2.36796,1.85304,0.26952,0.28025,0.19208,0.07827,2.16129,2.75939,2.17584,0.001604,0.001604,0.001604
12,122.784,1.84819,2.34863,1.80211,0.33649,0.29299,0.21097,0.08604,2.03497,2.79547,2.04581,0.0015644,0.0015644,0.0015644
13,130.269,1.85555,2.39208,1.82204,0.30587,0.27389,0.1904,0.08969,2.04042,2.76604,1.94352,0.0015248,0.0015248,0.0015248
14,137.88,1.84725,2.34829,1.83133,0.25832,0.3121,0.20276,0.07816,2.12536,2.63571,2.06437,0.0014852,0.0014852,0.0014852
15,145.401,1.77826,2.2476,1.78467,0.37014,0.29936,0.2674,0.12689,1.92447,2.53317,1.91661,0.0014456,0.0014456,0.0014456
16,152.937,1.71069,2.22151,1.75849,0.283,0.32181,0.24189,0.12114,1.8775,2.47885,1.9015,0.001406,0.001406,0.001406
17,160.439,1.72682,2.1894,1.73265,0.3961,0.30573,0.29053,0.13915,1.94523,2.59797,1.93971,0.0013664,0.0013664,0.0013664
18,167.936,1.74248,2.19565,1.7426,0.36972,0.40764,0.32184,0.16275,1.82667,2.43137,1.91294,0.0013268,0.0013268,0.0013268
19,175.462,1.73728,2.16683,1.73823,0.31447,0.30388,0.24288,0.12378,1.94132,2.61343,2.00074,0.0012872,0.0012872,0.0012872
20,183.088,1.70853,2.14789,1.71042,0.36999,0.36659,0.30629,0.14837,1.86988,2.71773,1.91766,0.0012476,0.0012476,0.0012476
21,190.609,1.68092,2.07099,1.68884,0.51811,0.32188,0.32781,0.16127,1.90751,2.36019,1.91433,0.001208,0.001208,0.001208
22,198.164,1.65987,2.0357,1.6985,0.49169,0.38217,0.39937,0.20435,1.88241,2.27699,1.94494,0.0011684,0.0011684,0.0011684
23,205.696,1.68642,2.05838,1.72824,0.38468,0.36306,0.31561,0.15761,1.84877,2.87249,1.93581,0.0011288,0.0011288,0.0011288
24,213.216,1.65139,2.03581,1.67061,0.47181,0.35845,0.35743,0.17432,1.85308,2.27293,1.92018,0.0010892,0.0010892,0.0010892
25,220.807,1.62954,2.02442,1.68149,0.43695,0.38217,0.38139,0.19066,1.86336,2.29849,1.88192,0.0010496,0.0010496,0.0010496
26,228.346,1.62537,1.99568,1.64167,0.32447,0.34266,0.27057,0.13096,1.81173,2.59269,1.89124,0.00101,0.00101,0.00101
27,235.882,1.6514,2.04281,1.69052,0.44812,0.42038,0.35782,0.1889,1.7956,2.20472,1.88292,0.0009704,0.0009704,0.0009704
28,243.452,1.61424,1.96733,1.70262,0.54633,0.3912,0.37942,0.20779,1.76913,2.23787,1.8108,0.0009308,0.0009308,0.0009308
29,250.951,1.62607,1.96781,1.69012,0.51598,0.38854,0.35867,0.18771,1.74769,2.29781,1.82254,0.0008912,0.0008912,0.0008912
30,258.433,1.62562,1.92751,1.66295,0.41153,0.42038,0.38375,0.20381,1.78634,2.26691,1.86695,0.0008516,0.0008516,0.0008516
31,265.983,1.5628,1.89992,1.63038,0.55381,0.42038,0.41518,0.20982,1.73896,2.16617,1.78462,0.000812,0.000812,0.000812
32,273.468,1.57154,1.88103,1.62768,0.46567,0.44963,0.3611,0.17763,1.86057,2.29843,1.91784,0.0007724,0.0007724,0.0007724
33,281.036,1.56602,1.85096,1.61478,0.62197,0.38217,0.42804,0.21,1.80084,2.11839,1.92418,0.0007328,0.0007328,0.0007328
34,288.653,1.56132,1.86713,1.60599,0.4622,0.42038,0.38697,0.21492,1.69918,2.12454,1.77094,0.0006932,0.0006932,0.0006932
35,296.4,1.54349,1.85285,1.61163,0.5812,0.42675,0.43345,0.23374,1.72506,2.06938,1.82559,0.0006536,0.0006536,0.0006536
36,304.054,1.52944,1.82805,1.61549,0.60368,0.41401,0.44248,0.24208,1.68319,2.01919,1.74305,0.000614,0.000614,0.000614
37,311.627,1.53771,1.80715,1.58329,0.515,0.47771,0.41625,0.22701,1.69069,2.13183,1.77435,0.0005744,0.0005744,0.0005744
38,319.359,1.55856,1.83379,1.60581,0.42311,0.43912,0.36584,0.18143,1.76291,2.25317,1.80808,0.0005348,0.0005348,0.0005348
39,326.976,1.50264,1.78839,1.56764,0.47132,0.45223,0.40848,0.20716,1.80071,2.20701,1.86159,0.0004952,0.0004952,0.0004952
40,334.527,1.46206,1.75676,1.56074,0.54285,0.4586,0.46833,0.24634,1.69497,1.99036,1.74826,0.0004556,0.0004556,0.0004556
41,341.646,1.4754,1.76885,1.57429,0.52253,0.44586,0.45218,0.24041,1.67166,2.0671,1.73715,0.000416,0.000416,0.000416
42,348.689,1.46977,1.72927,1.54684,0.6472,0.3949,0.44481,0.24068,1.67165,2.02358,1.76376,0.0003764,0.0003764,0.0003764
