epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.52471,1.31269,3.07532,1.7572,0.00013,0.27326,0.001,0.00029,3.16115,8.25306,2.58162,0.00028339,0.00028339,0.00028339
2,13.4526,1.07241,2.60869,1.60349,0.0001,0.26744,0.00081,0.00011,3.42165,8.44599,2.90081,0.000571898,0.000571898,0.000571898
3,19.406,1.08972,2.53879,1.60604,0.00017,0.28488,8e-05,2e-05,3.15725,7.78271,2.98583,0.000848523,0.000848523,0.000848523
4,25.7681,1.19542,2.52071,1.67248,0.00011,0.27035,3e-05,1e-05,3.23532,8.47845,3.36981,0.00111327,0.00111327,0.00111327
5,31.8235,1.22133,2.47095,1.66552,0.00011,0.27035,0.0001,4e-05,3.51378,12.6064,3.66579,0.00136613,0.00136613,0.00136613
6,37.9964,1.15261,2.31403,1.59702,0.0008,0.25,0.00052,0.00015,3.20663,41.1231,3.19138,0.00150197,0.00150197,0.00150197
7,44.1105,1.21461,2.30719,1.6554,0.00289,0.25,0.00225,0.00057,3.46298,28.5233,3.23412,0.00146896,0.00146896,0.00146896
8,50.1323,1.19693,2.34454,1.65531,0.00433,0.25,0.00276,0.00057,3.42007,18.0034,3.16608,0.00143595,0.00143595,0.00143595
9,56.2596,1.20592,2.18804,1.63339,0.00307,0.25,0.00156,0.00033,3.55553,10.3979,3.66161,0.00140295,0.00140295,0.00140295
10,62.1673,1.16499,2.16469,1.64628,0.00437,0.25,0.00355,0.00037,3.3695,19.0081,3.45612,0.00136994,0.00136994,0.00136994
11,68.1934,1.17428,2.17079,1.62326,0.00377,0.00291,0.00025,5e-05,3.27873,15.6377,3.30844,0.00133693,0.00133693,0.00133693
12,74.1334,1.18621,2.14811,1.63774,0.00101,0.25291,0.00038,8e-05,3.50801,10.1499,3.62417,0.00130393,0.00130393,0.00130393
13,80.1404,1.1254,2.04281,1.58875,0.00015,0.27616,6e-05,2e-05,3.67499,9.71385,3.73102,0.00127092,0.00127092,0.00127092
14,86.0887,1.12198,1.9536,1.57647,0.00018,0.25581,0.00016,3e-05,3.56481,12.2305,3.46497,0.00123791,0.00123791,0.00123791
